S.No.,Countries,Capital
1,Afghanistan,Kabul
2,Albania,Tirana
3,Algeria,Algiers
4,Andorra,Andorra la Vella
5,Angola,Luanda
6,Antigua and Barbuda,St. John's
7,Argentina,Buenos Aires
8,Armenia,Yerevan
9,Australia,Canberra
10,Austria,Vienna
11,Azerbaijan,Baku
12,Bahamas,Nassau
13,Bahrain,Manama
14,Bangladesh,Dhaka
15,Barbados,Bridgetown
16,Belarus,Minsk
17,Belgium,Brussels
18,Belize,Belmopan
19,Benin,Porto-Novo
20,Bhutan,Thimphu
21,Bolivia,Sucre
22,Bosnia and Herzegovina,Sarajevo
23,Botswana,Gaborone
24,Brazil,Brasília
25,Brunei,Bandar Seri Begawan
26,Bulgaria,Sofia
27,Burkina Faso,Ouagadougou
28,Burundi,Gitega
29,Cabo Verde,Praia
30,Cambodia,Phnom Penh
31,Cameroon,Yaounde
32,Canada,Ottawa
33,Central African Republic,Bangui
34,Chad,N'Djamena
35,Chile,Santiago
36,China,Beijing
37,Colombia,Bogota
38,Comoros,Moroni
39,Congo (Congo-Brazzaville),Brazzaville
40,Costa Rica,San Jose
41,Croatia,Zagreb
42,Cuba,Havana
43,Cyprus,Nicosia
44,Czechia (Czech Republic),Prague
45,Democratic Republic of the Congo,Kinshasa
46,Denmark,Copenhagen
47,Djibouti,Djibouti
48,Dominica,Roseau
49,Dominican Republic,Santo Domingo
50,Ecuador,Quito
51,Egypt,Cairo
52,El Salvador,San Salvador
53,Equatorial Guinea,Malabo
54,Eritrea,Asmara
55,Estonia,Tallinn
56,Eswatini,Mbabane
57,Ethiopia,Addis Ababa
58,Fiji,Suva
59,Finland,Helsinki
60,France,Paris
61,Gabon,Libreville
62,Gambia,Banjul
63,Georgia,Tbilisi
64,Germany,Berlin
65,Ghana,Accra
66,Greece,Athens
67,Grenada,St. George's
68,Guatemala,Guatemala City
69,Guinea,Conakry
70,Guinea-Bissau,Bissau
71,Guyana,Georgetown
72,Haiti,Port-au-Prince
73,Honduras,Tegucigalpa
74,Hungary,Budapest
75,Iceland,Reykjavik
76,India,New Delhi
77,Indonesia,Jakarta
78,Iran,Tehran
79,Iraq,Baghdad
80,Ireland,Dublin
81,Israel,Jerusalem
82,Italy,Rome
83,Ivory Coast,Yamoussoukro
84,Jamaica,Kingston
85,Japan,Tokyo
86,Jordan,Amman
87,Kazakhstan,Astana
88,Kenya,Nairobi
89,Kiribati,Tarawa
90,Kuwait,Kuwait City
91,Kyrgyzstan,Bishkek
92,Laos,Vientiane
93,Latvia,Riga
94,Lebanon,Beirut
95,Lesotho,Maseru
96,Liberia,Monrovia
97,Libya,Tripoli
98,Liechtenstein,Vaduz
99,Lithuania,Vilnius
100,Luxembourg,Luxembourg
101,Madagascar,Antananarivo
102,Malawi,Lilongwe
103,Malaysia,Kuala Lumpur
104,Maldives,Male
105,Mali,Bamako
106,Malta,Valletta
107,Marshall Islands,Majuro
108,Mauritania,Nouakchott
109,Mauritius,Port Louis
110,Mexico,Mexico City
111,Micronesia,Palikir
112,Moldova,Chisinau
113,Monaco,Monaco
114,Mongolia,Ulaanbaatar
115,Montenegro,Podgorica
116,Morocco,Rabat
117,Mozambique,Maputo
118,Myanmar (Burma),Naypyidaw
119,Namibia,Windhoek
120,Nauru,Yaren
121,Nepal,Kathmandu
122,Netherlands,Amsterdam
123,New Zealand,Wellington
124,Nicaragua,Managua
125,Niger,Niamey
126,Nigeria,Abuja
127,North Korea,Pyongyang
128,North Macedonia,Skopje
129,Norway,Oslo
130,Oman,Muscat
131,Pakistan,Islamabad
132,Palau,Ngerulmud
133,Palestine,Jerusalem
134,Panama,Panama City
135,Papua New Guinea,Port Moresby
136,Paraguay,Asuncion
137,Peru,Lima
138,Philippines,Manila
139,Poland,Warsaw
140,Portugal,Lisbon
141,Qatar,Doha
142,Romania,Bucharest
143,Russia,Moscow
144,Rwanda,Kigali
145,Saint Kitts and Nevis,Basseterre
146,Saint Lucia,Castries
147,Saint Vincent and the Grenadines,Kingstown
148,Samoa,Apia
149,San Marino,San Marino
150,Sao Tome and Principe,Sao Tome
151,Saudi Arabia,Riyadh
152,Senegal,Dakar
153,Serbia,Belgrade
154,Seychelles,Victoria
155,Sierra Leone,Freetown
156,Singapore,Singapore
157,Slovakia,Bratislava
158,Slovenia,Ljubljana
159,Solomon Islands,Honiara
160,Somalia,Mogadishu
161,South Africa,Pretoria
162,South Korea,Seoul
163,South Sudan,Juba
164,Spain,Madrid
165,Sri Lanka,Sri Jayawardenepura Kotte
166,Sudan,Khartoum
167,Suriname,Paramaribo
168,Sweden,Stockholm
169,Switzerland,Bern
170,Syria,Damascus
171,Taiwan,Taipei
172,Tajikistan,Dushanbe
173,Tanzania,Dodoma
174,Thailand,Bangkok
175,Timor-Leste,Dili
176,Togo,Lome
177,Tonga,Nuku'alofa
178,Trinidad and Tobago,Port of Spain
179,Tunisia,Tunis
180,Turkey,Ankara
181,Turkmenistan,Ashgabat
182,Tuvalu,Funafuti
183,Uganda,Kampala
184,Ukraine,Kyiv
185,United Arab Emirates,Abu Dhabi
186,United Kingdom,London
187,United States,"Washington, D.C."
188,Uruguay,Montevideo
189,Uzbekistan,Tashkent
190,Vanuatu,Port Vila
191,Vatican City,Vatican City
192,Venezuela,Caracas
193,Vietnam,Hanoi
194,Yemen,Sanaa
195,Zambia,Lusaka
196,Zimbabwe,Harare
